id,created_when,started_when,account_id,from_state,to_state,previous_state_transition_id
3,2020-03-12 20:03:35.724574,2019-11-06 05:49:39.571392,2,CREATED,ENABLED,
4,2020-03-12 20:03:35.724574,2019-11-25 22:20:59.150339,2,ENABLED,DISABLED,3
5,2020-03-12 20:03:36.042456,2019-11-26 10:22:36.571392,2,DISABLED,ENABLED,4
6,2020-03-12 20:03:36.042456,2019-11-29 11:03:32.150339,2,ENABLED,DISABLED,5
7,2020-03-12 20:03:36.098448,2019-12-03 10:08:03.571392,2,DISABLED,ENABLED,6
8,2020-03-12 20:03:36.098448,2019-12-06 06:44:56.624024,2,ENABLED,DISABLED,7
9,2020-03-12 20:03:36.159296,2019-12-09 21:31:25.571392,2,DISABLED,ENABLED,8
10,2020-03-12 20:03:36.159296,2019-12-12 11:56:56.518760,2,ENABLED,DISABLED,9
11,2020-03-12 20:03:36.247861,2019-12-15 09:27:22.571392,2,DISABLED,ENABLED,10
12,2020-03-12 20:03:36.247861,2019-12-18 11:33:11.202971,2,ENABLED,DISABLED,11
13,2020-03-12 20:03:36.316006,2019-12-23 07:02:29.571392,2,DISABLED,ENABLED,12
14,2020-03-12 20:03:36.316006,2019-12-25 22:42:16.939813,2,ENABLED,DISABLED,13
15,2020-03-12 20:03:36.406411,2019-12-31 00:42:05.571392,2,DISABLED,ENABLED,14
16,2020-03-12 20:03:36.406411,2020-01-02 22:33:15.045076,2,ENABLED,DISABLED,15
17,2020-03-12 20:03:36.501978,2020-01-05 09:25:19.571392,2,DISABLED,ENABLED,16
18,2020-03-12 20:03:36.501978,2020-01-08 02:29:59.992445,2,ENABLED,DISABLED,17
19,2020-03-12 20:03:36.573356,2020-01-12 11:43:07.571392,2,DISABLED,ENABLED,18
20,2020-03-12 20:03:36.573356,2020-01-15 06:55:07.571392,2,ENABLED,DISABLED,19
21,2020-03-12 20:03:36.673307,2020-01-19 14:23:11.571392,2,DISABLED,ENABLED,20
22,2020-03-12 20:03:36.673307,2020-01-22 17:00:50.097708,2,ENABLED,DISABLED,21
23,2020-03-12 20:03:36.747934,2020-01-27 02:37:47.571392,2,DISABLED,ENABLED,22
24,2020-03-12 20:03:36.747934,2020-01-29 23:14:40.624024,2,ENABLED,DISABLED,23
25,2020-03-12 20:03:36.823060,2020-02-03 20:07:42.571392,2,DISABLED,ENABLED,24
26,2020-03-12 20:03:36.823060,2020-02-06 22:45:21.097708,2,ENABLED,DISABLED,25
27,2020-03-12 20:03:36.928789,2020-02-11 16:32:12.571392,2,DISABLED,ENABLED,26
28,2020-03-12 20:03:36.928789,2020-02-14 11:01:46.045076,2,ENABLED,DISABLED,27
29,2020-03-12 20:03:37.007766,2020-02-19 02:54:44.571392,2,DISABLED,ENABLED,28
30,2020-03-12 20:03:37.007766,2020-02-21 20:41:51.518760,2,ENABLED,DISABLED,29
31,2020-03-12 20:03:37.120446,2020-02-24 02:00:21.571392,2,DISABLED,UNLOCKED,30
220,2020-03-12 20:03:38.848432,2019-11-14 14:57:02.571392,3,CREATED,ENABLED,
221,2020-03-12 20:03:38.848432,2019-12-06 16:03:44.255603,3,ENABLED,DISABLED,220
222,2020-03-12 20:03:38.848432,2019-12-12 12:50:48.571392,3,DISABLED,ENABLED,221
223,2020-03-12 20:03:38.848432,2019-12-15 10:31:21.413497,3,ENABLED,DISABLED,222
224,2020-03-12 20:03:38.848432,2019-12-17 17:18:20.571392,3,DISABLED,ENABLED,223
225,2020-03-12 20:03:38.848432,2019-12-20 06:18:58.466129,3,ENABLED,DISABLED,224
226,2020-03-12 20:03:38.848432,2019-12-24 18:14:22.571392,3,DISABLED,ENABLED,225
227,2020-03-12 20:03:38.848432,2019-12-27 06:00:44.045076,3,ENABLED,DISABLED,226
228,2020-03-12 20:03:38.848432,2019-12-31 02:05:49.571392,3,DISABLED,ENABLED,227
229,2020-03-12 20:03:38.848432,2020-01-02 21:07:12.939813,3,ENABLED,DISABLED,228
230,2020-03-12 20:03:38.848432,2020-01-08 07:02:59.571392,3,DISABLED,ENABLED,229
231,2020-03-12 20:03:38.848432,2020-01-10 18:49:21.045076,3,ENABLED,DISABLED,230
232,2020-03-12 20:03:38.848432,2020-01-14 02:16:41.571392,3,DISABLED,ENABLED,231
233,2020-03-12 20:03:38.848432,2020-01-16 16:42:12.518760,3,ENABLED,DISABLED,232
234,2020-03-12 20:03:38.848432,2020-01-22 04:52:49.571392,3,DISABLED,ENABLED,233
235,2020-03-12 20:03:38.848432,2020-01-25 05:12:31.887181,3,ENABLED,DISABLED,234
236,2020-03-12 20:03:38.848432,2020-01-30 06:11:02.571392,3,DISABLED,ENABLED,235
237,2020-03-12 20:03:38.848432,2020-02-02 01:12:25.939813,3,ENABLED,DISABLED,236
238,2020-03-12 20:03:38.848432,2020-02-18 11:21:05.571392,3,DISABLED,ENABLED,237
239,2020-03-12 20:03:38.848432,2020-02-21 11:40:47.887181,3,ENABLED,DISABLED,238
240,2020-03-12 20:03:38.848432,2020-03-10 22:22:55.571392,3,DISABLED,ENABLED,239
241,2020-03-12 20:03:38.848432,2020-03-17 22:22:55.571392,3,ENABLED,DISABLED,240
242,2020-03-12 20:03:39.572702,2019-12-11 03:18:53.571392,4,CREATED,ENABLED,
243,2020-03-12 20:03:39.572702,2020-01-05 22:26:20.729287,4,ENABLED,DISABLED,242
244,2020-03-12 20:03:39.952277,2020-01-07 13:26:53.571392,4,DISABLED,ENABLED,243
