id,effective_when,account_id,currency,amount
1,2019-12-26 06:00:42.571392,1,KES,950
2,2019-12-26 06:00:42.571392,1,KES,950
3,2019-11-06 05:49:39.571392,2,KES,950
4,2019-11-06 05:49:39.571392,2,KES,950
5,2019-11-11 06:43:34.571392,2,KES,415
6,2019-11-19 01:27:14.571392,2,KES,357
7,2019-11-26 10:22:36.571392,2,KES,411
8,2019-12-03 10:08:03.571392,2,KES,388
9,2019-12-09 21:31:25.571392,2,KES,353
10,2019-12-15 09:27:22.571392,2,KES,419
11,2019-12-23 07:02:29.571392,2,KES,360
12,2019-12-31 00:42:05.571392,2,KES,395
13,2020-01-05 09:25:19.571392,2,KES,368
14,2020-01-12 11:43:07.571392,2,KES,380
15,2020-01-19 14:23:11.571392,2,KES,422
16,2020-01-27 02:37:47.571392,2,KES,388
17,2020-02-03 20:07:42.571392,2,KES,422
18,2020-02-11 16:32:12.571392,2,KES,376
19,2020-02-19 02:54:44.571392,2,KES,372
20,2020-02-24 02:00:21.571392,2,KES,374
21,2019-11-14 14:57:02.571392,3,KES,950
22,2019-11-14 14:57:02.571392,3,KES,950
23,2020-03-10 22:22:55.571392,3,KES,950
24,2020-02-27 09:55:12.571392,3,KES,375
25,2020-02-18 11:21:05.571392,3,KES,409
26,2020-01-30 06:11:02.571392,3,KES,379
27,2020-01-22 04:52:49.571392,3,KES,409
28,2020-01-14 02:16:41.571392,3,KES,353
29,2020-01-08 07:02:59.571392,3,KES,338
30,2019-12-31 02:05:49.571392,3,KES,379
31,2019-12-24 18:14:22.571392,3,KES,338
32,2019-12-17 17:18:20.571392,3,KES,345
33,2019-12-12 12:50:48.571392,3,KES,394
34,2019-12-03 13:59:15.571392,3,KES,338
35,2019-11-27 05:29:53.571392,3,KES,349
36,2019-11-18 21:15:46.571392,3,KES,405
37,2019-12-11 03:18:53.571392,4,KES,950
38,2019-12-11 03:18:53.571392,4,KES,950
39,2019-12-16 13:08:35.571392,4,KES,519
40,2019-12-23 11:05:33.571392,4,KES,547
41,2019-12-31 17:52:20.571392,4,KES,535
42,2020-01-07 13:26:53.571392,4,KES,524
43,2020-01-13 14:50:45.571392,4,KES,603
44,2020-01-20 07:10:58.571392,4,KES,603
45,2020-01-28 05:12:17.571392,4,KES,603
46,2020-02-02 16:59:13.571392,4,KES,530
47,2020-02-09 17:08:19.571392,4,KES,609
48,2020-02-16 05:53:16.571392,4,KES,547
49,2020-02-25 04:28:59.571392,4,KES,580
50,2019-10-31 22:36:23.571392,5,KES,950
51,2019-10-31 22:36:23.571392,5,KES,950
52,2020-03-05 01:00:17.571392,5,KES,950
53,2020-02-27 04:52:32.571392,5,KES,361
54,2020-02-19 10:37:22.571392,5,KES,340
55,2020-02-11 22:40:33.571392,5,KES,357
56,2020-01-30 20:53:06.571392,5,KES,378
57,2019-12-24 17:39:45.571392,5,KES,357
58,2019-12-19 19:52:59.571392,5,KES,329
59,2019-12-05 00:24:06.571392,5,KES,343
60,2019-11-28 07:54:39.571392,5,KES,357
61,2019-11-21 14:30:00.571392,5,KES,343
62,2019-11-12 15:59:30.571392,5,KES,378
63,2019-11-06 19:26:05.571392,5,KES,350
64,2019-09-29 13:04:45.571392,6,KES,950
65,2019-09-29 13:04:45.571392,6,KES,950
66,2019-10-05 13:57:04.571392,6,KES,310
67,2019-10-12 15:56:48.571392,6,KES,286
68,2019-10-20 01:51:35.571392,6,KES,292
69,2019-10-26 15:30:44.571392,6,KES,292
70,2019-11-02 15:50:26.571392,6,KES,322
71,2019-11-07 18:05:53.571392,6,KES,295
72,2019-11-15 19:50:50.571392,6,KES,292
73,2019-11-22 09:21:11.571392,6,KES,289
74,2019-11-29 12:52:51.571392,6,KES,316
75,2019-12-06 13:10:40.571392,6,KES,319
76,2019-12-13 03:38:05.571392,6,KES,275
77,2019-12-22 07:49:28.571392,6,KES,283
78,2019-12-27 03:39:43.571392,6,KES,269
79,2020-01-05 09:40:22.571392,6,KES,313
80,2020-01-11 12:18:32.571392,6,KES,289
81,2020-01-18 13:10:17.571392,6,KES,313
82,2020-01-24 17:53:36.571392,6,KES,310
83,2020-01-30 20:52:56.571392,6,KES,313
84,2020-02-07 00:33:23.571392,6,KES,266
85,2020-02-16 10:24:58.571392,6,KES,283
86,2020-02-20 18:54:47.571392,6,KES,273
87,2019-11-16 05:55:56.571392,7,KES,950
88,2019-11-16 05:55:56.571392,7,KES,950
89,2020-03-04 18:35:25.571392,7,KES,950
90,2020-02-27 21:56:59.571392,7,KES,440
91,2020-02-14 07:18:07.571392,7,KES,388
92,2020-02-07 12:41:24.571392,7,KES,372
93,2020-01-29 19:23:12.571392,7,KES,396
94,2020-01-24 07:22:21.571392,7,KES,440
95,2020-01-17 11:32:53.571392,7,KES,404
96,2020-01-01 14:50:27.571392,7,KES,416
97,2019-12-20 13:12:06.571392,7,KES,436
98,2019-12-11 23:35:32.571392,7,KES,408
99,2019-11-29 07:54:22.571392,7,KES,380
100,2020-01-29 21:57:00.571392,8,KES,950
101,2020-01-29 21:57:00.571392,8,KES,950
102,2020-03-04 07:34:37.571392,8,KES,1643
103,2020-02-03 04:52:42.571392,8,KES,1674
104,2019-10-10 12:49:10.571392,9,KES,950
105,2019-10-10 12:49:10.571392,9,KES,950
106,2019-10-14 16:58:39.571392,9,KES,285
107,2019-10-23 15:04:14.571392,9,KES,307
108,2019-10-28 18:24:13.571392,9,KES,298
109,2019-11-06 09:38:15.571392,9,KES,338
110,2019-11-14 00:35:14.571392,9,KES,301
111,2019-11-18 15:12:25.571392,9,KES,307
112,2019-11-25 13:33:17.571392,9,KES,310
113,2019-12-04 05:54:32.571392,9,KES,329
114,2019-12-12 00:09:42.571392,9,KES,304
115,2019-12-16 13:59:42.571392,9,KES,304
116,2019-12-25 18:26:37.571392,9,KES,285
117,2019-12-30 23:11:14.571392,9,KES,295
118,2020-01-08 04:37:07.571392,9,KES,298
119,2020-01-16 03:21:08.571392,9,KES,301
120,2020-01-21 08:53:51.571392,9,KES,288
121,2020-01-27 19:45:06.571392,9,KES,288
122,2020-02-04 06:10:39.571392,9,KES,335
123,2020-02-12 23:30:49.571392,9,KES,332
124,2020-02-17 23:43:07.571392,9,KES,319
125,2020-02-25 23:38:15.571392,9,KES,329
126,2020-03-04 07:45:50.571392,9,KES,47
127,2019-12-15 03:38:31.571392,10,KES,950
128,2019-12-15 03:38:31.571392,10,KES,950
129,2019-12-20 11:28:20.571392,10,KES,570
130,2019-12-28 21:55:47.571392,10,KES,614
131,2020-01-03 21:43:49.571392,10,KES,626
132,2020-01-09 17:23:49.571392,10,KES,670
133,2020-01-17 09:04:33.571392,10,KES,626
134,2020-01-23 17:25:12.571392,10,KES,589
135,2020-01-31 12:45:26.571392,10,KES,595
136,2020-02-06 06:16:29.571392,10,KES,657
137,2020-02-13 16:53:51.571392,10,KES,670
138,2020-02-21 15:48:49.571392,10,KES,583
139,2019-09-22 00:50:52.571392,11,KES,950
140,2019-09-22 00:50:52.571392,11,KES,950
141,2019-09-28 06:13:53.571392,11,KES,271
142,2019-10-03 16:46:38.571392,11,KES,265
143,2019-10-12 04:23:15.571392,11,KES,290
144,2019-10-18 12:07:49.571392,11,KES,259
145,2019-10-25 15:48:43.571392,11,KES,273
146,2019-11-01 18:15:57.571392,11,KES,304
147,2019-11-09 04:10:19.571392,11,KES,254
148,2019-11-14 01:19:17.571392,11,KES,299
149,2019-11-23 08:49:12.571392,11,KES,276
150,2019-11-28 03:57:43.571392,11,KES,299
151,2019-12-06 13:46:22.571392,11,KES,299
152,2019-12-12 21:12:20.571392,11,KES,302
153,2019-12-19 20:36:38.571392,11,KES,256
154,2019-12-28 22:40:50.571392,11,KES,279
155,2020-01-04 23:57:11.571392,11,KES,302
156,2020-01-11 12:33:23.571392,11,KES,296
157,2020-01-18 17:09:45.571392,11,KES,285
158,2020-01-24 14:28:09.571392,11,KES,304
159,2020-01-30 06:29:33.571392,11,KES,299
160,2020-02-08 23:04:25.571392,11,KES,307
161,2020-02-13 16:33:59.571392,11,KES,256
162,2020-02-22 10:21:48.571392,11,KES,225
163,2019-10-03 09:22:40.571392,12,KES,1500
164,2019-10-03 09:22:40.571392,12,KES,1500
165,2019-10-09 06:44:29.571392,12,KES,137
166,2019-10-15 11:01:11.571392,12,KES,149
167,2019-10-22 02:58:34.571392,12,KES,143
168,2019-10-29 00:12:09.571392,12,KES,142
169,2019-11-06 10:34:22.571392,12,KES,142
170,2019-11-12 20:01:43.571392,12,KES,158
